# 图片浏览固定序列；字段：version|position|block6|fileName|valence|valenceCode
version|position|block6|fileName|valence|valenceCode
A|1|1|znrw45h052.png|中性|neutral
B|1|1|znrw45h052.png|中性|neutral
C|1|1|jjdw45h002.png|正性|positive
D|1|1|fxrw45h019.png|负性|negative
A|2|1|jjdw45h002.png|正性|positive
B|2|1|fxdw45h015.png|负性|negative
C|2|1|znrw45h060.png|中性|neutral
D|2|1|jjrw45h021.png|正性|positive
A|3|1|fxdw45h020.png|负性|negative
B|3|1|jjrw45h021.png|正性|positive
C|3|1|fxdw45h020.png|负性|negative
D|3|1|znrw45h009.png|中性|neutral
A|4|1|znrw45h039.png|中性|neutral
B|4|1|jjdw45h002.png|正性|positive
C|4|1|fxrw45h012.png|负性|negative
D|4|1|jjrw45h048.png|正性|positive
A|5|1|fxrw45h058.png|负性|negative
B|5|1|znrw45h019.png|中性|neutral
C|5|1|jjrw45h063.png|正性|positive
D|5|1|fxdw45h015.png|负性|negative
A|6|1|jjrw45h033.png|正性|positive
B|6|1|fxrw45h012.png|负性|negative
C|6|1|zndw45h001.png|中性|neutral
D|6|1|znrw45h003.png|中性|neutral
A|7|2|znrw45h003.png|中性|neutral
B|7|2|znrw45h060.png|中性|neutral
C|7|2|jjrw45h021.png|正性|positive
D|7|2|fxrw45h031.png|负性|negative
A|8|2|jjrw45h021.png|正性|positive
B|8|2|fxrw45h042.png|负性|negative
C|8|2|znrw45h040.png|中性|neutral
D|8|2|jjrw45h024.png|正性|positive
A|9|2|fxrw45h012.png|负性|negative
B|9|2|jjrw45h040.png|正性|positive
C|9|2|fxrw45h058.png|负性|negative
D|9|2|znrw45h060.png|中性|neutral
A|10|2|znzr45h050.png|中性|neutral
B|10|2|jjrw45h029.png|正性|positive
C|10|2|fxrw45h028.png|负性|negative
D|10|2|jjrw45h023.png|正性|positive
A|11|2|fxrw45h013.png|负性|negative
B|11|2|znrw45h040.png|中性|neutral
C|11|2|jjrw45h033.png|正性|positive
D|11|2|fxrw45h012.png|负性|negative
A|12|2|jjrw45h048.png|正性|positive
B|12|2|fxrw45h028.png|负性|negative
C|12|2|znzr45h050.png|中性|neutral
D|12|2|zndw45h001.png|中性|neutral
A|13|3|znrw45h040.png|中性|neutral
B|13|3|znzr45h050.png|中性|neutral
C|13|3|jjrw45h023.png|正性|positive
D|13|3|fxrw45h013.png|负性|negative
A|14|3|jjrw45h040.png|正性|positive
B|14|3|fxrw45h013.png|负性|negative
C|14|3|znrw45h052.png|中性|neutral
D|14|3|jjrw45h063.png|正性|positive
A|15|3|fxdw45h015.png|负性|negative
B|15|3|jjdw45h005.png|正性|positive
C|15|3|fxdw45h015.png|负性|negative
D|15|3|znrw45h052.png|中性|neutral
A|16|3|znrw45h019.png|中性|neutral
B|16|3|jjrw45h048.png|正性|positive
C|16|3|fxrw45h031.png|负性|negative
D|16|3|jjdw45h005.png|正性|positive
A|17|3|fxrw45h039.png|负性|negative
B|17|3|znrw45h039.png|中性|neutral
C|17|3|jjrw45h048.png|正性|positive
D|17|3|fxrw45h058.png|负性|negative
A|18|3|jjdw45h005.png|正性|positive
B|18|3|fxdw45h020.png|负性|negative
C|18|3|znrw45h003.png|中性|neutral
D|18|3|znrw45h040.png|中性|neutral
A|19|4|znrw45h009.png|中性|neutral
B|19|4|zndw45h001.png|中性|neutral
C|19|4|jjdw45h005.png|正性|positive
D|19|4|fxrw45h039.png|负性|negative
A|20|4|jjrw45h024.png|正性|positive
B|20|4|fxrw45h058.png|负性|negative
C|20|4|znrw45h039.png|中性|neutral
D|20|4|jjrw45h040.png|正性|positive
A|21|4|fxrw45h031.png|负性|negative
B|21|4|jjrw45h023.png|正性|positive
C|21|4|fxrw45h013.png|负性|negative
D|21|4|znrw45h019.png|中性|neutral
A|22|4|znrw45h060.png|中性|neutral
B|22|4|jjrw45h063.png|正性|positive
C|22|4|fxrw45h039.png|负性|negative
D|22|4|jjrw45h033.png|正性|positive
A|23|4|fxrw45h042.png|负性|negative
B|23|4|znrw45h003.png|中性|neutral
C|23|4|jjrw45h029.png|正性|positive
D|23|4|fxrw45h042.png|负性|negative
A|24|4|jjrw45h063.png|正性|positive
B|24|4|fxrw45h031.png|负性|negative
C|24|4|znrw45h009.png|中性|neutral
D|24|4|znrw45h025.png|中性|neutral
A|25|5|zndw45h001.png|中性|neutral
B|25|5|znrw45h009.png|中性|neutral
C|25|5|jjrw45h040.png|正性|positive
D|25|5|fxdw45h020.png|负性|negative
A|26|5|jjrw45h029.png|正性|positive
B|26|5|fxrw45h039.png|负性|negative
C|26|5|znrw45h019.png|中性|neutral
D|26|5|jjdw45h002.png|正性|positive
A|27|5|fxrw45h028.png|负性|negative
B|27|5|jjrw45h033.png|正性|positive
C|27|5|fxrw45h042.png|负性|negative
D|27|5|znzr45h050.png|中性|neutral
A|28|5|znrw45h025.png|中性|neutral
B|28|5|jjrw45h024.png|正性|positive
C|28|5|fxrw45h019.png|负性|negative
D|28|5|jjrw45h029.png|正性|positive
A|29|5|fxrw45h019.png|负性|negative
B|29|5|znrw45h025.png|中性|neutral
C|29|5|jjrw45h024.png|正性|positive
D|29|5|fxrw45h028.png|负性|negative
A|30|5|jjrw45h023.png|正性|positive
B|30|5|fxrw45h019.png|负性|negative
C|30|5|znrw45h025.png|中性|neutral
D|30|5|znrw45h039.png|中性|neutral
